CAS,Chemical Name,Glove_AlphaTec_02-100,Glove_AlphaTec_Solvex_37-675,Glove_AlphaTec_38-001,Glove_AlphaTec_39-122_124,Glove_AlphaTec_53-002_003,Glove_AlphaTec_58-270,Glove_AlphaTec_58-530_535,Glove_DermaShield_73-701_711_721,Glove_TouchNTuff_92-600_605,Glove_MICROFLEX_93-260_360
109-89-7,Dietilammina,> 480,17,< 10,< 5,> 480,< 10,28,< 10,3,6
822-06-0,diisocianato di esametilene,> 480,30-60,10-30,> 480,> 480,10-30,30-60,< 10,< 10,10-30
67-64-1,Dimethyl Ketone,> 480,7,30-60,< 5,> 480,< 10,6,2,11,3
60-29-7,Diethyloxide,> 480,< 10,10-30,< 10,> 480,< 10,10-30,< 10,1,10-30
110-85-0,Diethylenediamine,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480
68334-30-5,Diesel LS,> 480,> 480,> 480,> 480,> 480,> 480,> 480,120-240,> 480,> 480
107-06-2,Dicloroetano 1.2-,> 480,< 10,30-60,10-30,> 480,< 10,30-60,30-60,< 10,< 10
26471-62-5,Desmodur T80,> 480,120-240,> 480,> 480,> 480,> 480,120-240,10-30,10-30,40
110-05-4,di-t-butylperoxide,> 480,> 480,60-120,240-480,240-480,240-480,> 480,60-120,120-240,240-480
127-18-4,DICLOROCARBENE,136,> 480,< 10,70,> 480,60-120,133,< 10,< 10,60-120
67-68-5,DELTAN,> 480,120-240,> 480,30-60,> 480,30-60,120-240,391,< 10,93
111-42-2,DEA,> 480,> 480,> 480,240-480,> 480,240-480,> 480,120-240,60-120,240-480
108-91-8,Cyclohexanamine,240-480,60-120,30-60,10-30,> 480,10-30,30-60,< 10,< 10,10-30
98-82-8,Cumene,> 480,30-60,< 10,< 10,> 480,< 10,10-30,< 10,< 10,10-30
7722-64-7,Condy's crystals (7%),> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480
7647-14-5,Cloruro di sodio,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480
141-43-5,COLAMMINA,> 480,> 480,> 480,240-480,> 480,240-480,> 480,120-240,> 480,120-240
8007-45-2,crude coal tar,> 480,> 480,> 480,> 480,> 480,> 480,> 480,60-120,240-480,> 480
1319-77-3,Cresoli misti,240-480,120-240,> 480,30-60,> 480,30-60,60-120,60-120,10-30,60-120
79-22-1,CLORURO DI METILMETANOATO,240-480,< 10,> 480,< 10,30-60,< 10,< 10,< 10,< 10,< 10
75-09-2,Cloruro di metilene,> 480,< 10,< 10,< 10,23,< 10,< 10,< 10,< 10,2
74-87-3,Cloruro di metile,240-480,10-30,< 10,< 10,< 10,< 10,< 10,< 10,< 10,< 10
7647-01-0,cloruro di idrogeno (37%),> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,30-60,> 480
98-88-4,Cloruro di benzoile,240-480,< 10,< 10,< 10,10-30,< 10,< 10,< 10,< 10,< 10
7758-94-3,Cloruro di ferro (II) (39%),> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480
7705-08-0,Cloruro di ferro (III) (50%),> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480
7719-09-7,CLORURO DI FOSFORILE,10-30,> 480,60-120,< 10,< 6,< 10,< 10,< 10,< 10,< 10
100-44-7,Cloruro di benzile,< 10,10-30,30-60,< 10,60-120,< 10,< 10,< 10,< 10,< 10
106-43-4,Clorotoluene p-,> 480,10-30,< 10,< 10,> 480,< 10,10-30,< 10,< 10,< 10
95-49-8,clorotoluene,> 480,23,< 10,< 5,> 480,< 10,19,1,< 10,< 10
