CAS,Chemical_Name,Percentage,Physical_State,AlphaTec_02-100,AlphaTec_Solvex_37-675,AlphaTec_38-001,AlphaTec_39-122.124,AlphaTec_53-002.003,AlphaTec_58-270,AlphaTec_58-530.535,DermaShield_73-701.711.721,TouchNTuff_92-600.605.93-300.700,MICROFLEX_93-260.360
1333-82-0,Ossido di cromo (IV),100.0,S,<10,30-60,>480,<10,<10,30-60,<10,<10,10-30,120-240
7664-38-2,Orthophosphoric Acid,100.0,L,>480,>480,>480,>480,>480,>480,>480,>480,>480,>480
62-53-3,olio di anilina,100.0,L,>480,30-60,>480,10-30,>480,10-30,30-60,<10,<10,10-30
8012-95-1,Olio minerale,100.0,L,>480,>480,10-30,>480,>480,>480,>480,30-60,>480,>480
106-89-8,OSSIDO DI CLOROPROILENE,100.0,L,>480,<10,>480,<10,60-120,<10,<10,<10,<10,<10
108-24-7,OSSIDO DI ACETILE,100.0,L,>480,<10,>480,<10,>480,<10,<10,10-30,<10,<10
7664-93-9,Olio di vitriolo 50%,50.0,L,>480,>480,>480,>480,>480,>480,>480,>480,>480,>480
8014-95-7,Oleum (20% p/p triossido di zolfo),20.0,L,240-480,10-30,60-120,<10,120-240,10-30,<10,30-60,<10,10-30
111-87-5,octanol,100.0,L,>480,>480,>480,240-480,>480,240-480,>480,240-480,>480,>480
95-53-4,o-Methylaniline,100.0,L,240-480,30-60,>480,10-30,>480,10-30,30-60,<10,<10,<10
872-50-4,NMP,100.0,L,240-480,10-30,>480,<10,366,<2,10-30,<10,<10,7
107-13-1,Nitrili di propilene,100.0,L,>480,<10,240-480,<10,60-120,<10,6,<10,<10,3
98-95-3,nitrobenzolo,100.0,L,>480,105,>480,30-60,>480,30-60,60-120,<10,<10,30-60
54-11-5,Nicotina,100.0,L,240-480,60-120,>480,30-60,240-480,30-60,60-120,<10,10-30,30-60
8030-30-6,Naphtha VM&P,100.0,L,>480,84,<10,>480,>480,>480,>480,10-30,240-480,>480
64742-48-9,Naphtha hydrotreated heavy,100.0,L,>480,>480,10-30,>480,>480,>480,>480,30-60,>480,>480
1310-73-2,NaOH,100.0,S,>480,>480,>480,>480,>480,>480,>480,>480,>480,>480
