CAS,Chemical_Name,Percentage,Physical_State,AlphaTec_02-100,AlphaTec_Solvex_37-675,AlphaTec_38-001,AlphaTec_39-122.124,AlphaTec_53-002.003,AlphaTec_58-270,AlphaTec_58-530.535,DermaShield_73-701.711.721,TouchNTuff_92-600.605.93-300.700,MICROFLEX_93-260.360
106-43-4,4-Chlorotoluene,100.0,L,> 480,10-30,< 10,< 10,> 480,< 10,10-30,< 10,< 10,< 10
96-48-0,4-Butyrolactone,100.0,L,> 480,10-30,> 480,< 10,> 480,< 10,10-30,30-60,< 10,< 10
590-92-1,3-bromopropionic acid,100.0,S,> 480,> 480,> 480,> 480,> 480,> 480,> 480,240-480,240-480,> 480
107-18-6,2-Propenol,100.0,L,> 480,51,> 480,10-30,> 480,10-30,30-60,< 10,< 10,30-60
67-64-1,2-Propanone,100.0,L,> 480,7,> 480,< 5,> 480,< 10,6,2,1,3
67-63-0,2-propanol,100.0,L,> 480,> 480,> 480,> 480,> 480,> 480,> 480,234,175,380
78-83-1,2-Methylpropan-1-ol,100.0,L,> 480,> 480,> 480,> 480,> 480,> 480,> 480,240-480,60-120,> 480
95-53-4,2-Methyliniline,100.0,L,240-480,30-60,> 480,10-30,> 480,10-30,30-60,< 10,< 10,< 10
111-15-9,2-Ethoxyethylacetate,100.0,L,> 480,60-120,> 480,10-30,> 480,10-30,30-60,10-30,< 10,30-60
107-07-3,2-chloroethanol,100.0,L,> 480,10-30,240-480,< 10,> 480,< 10,< 10,60-120,< 10,30-60
78-93-3,2-butanone,100.0,L,> 480,5,136,1,> 480,< 10,7,1,< 10,3
584-84-9,2,4- TDI,100.0,L,> 480,120-240,> 480,30-60,> 480,30-60,120-240,10-30,10-30,30-60
141-43-5,2-Aminoethanol,100.0,L,> 480,> 480,> 480,240-480,> 480,240-480,> 480,120-240,> 480,120-240
111-42-2,2,2'-dihydroxydiethylamine,100.0,L,> 480,> 480,> 480,240-480,> 480,240-480,> 480,120-240,60-120,240-480
95-49-8,2-clorotoluene,100.0,L,> 480,23,< 10,< 5,> 480,< 10,19,1,< 10,< 10
71-23-8,1-propanol,100.0,L,> 480,> 480,> 480,120-240,> 480,> 480,240-480,60-120,21,200
111-87-5,1-Octanol,100.0,L,> 480,> 480,> 480,240-480,> 480,240-480,> 480,240-480,> 480,> 480
108-65-6,1-Metossi-2-propil acetato,100.0,L,> 480,132,> 480,30-60,> 480,30-60,60-120,< 10,< 10,10-30
107-98-2,1-Methoxy-2-Propanol,100.0,L,> 480,236,> 480,13,> 480,30-60,60-120,60-120,10-30,60-120
106-89-8,1-Chloro-2,3-Epoxypropane,100.0,L,> 480,< 10,> 480,< 10,60-120,< 10,< 10,< 10,< 10,< 10
71-36-3,1-butanol,100.0,L,> 480,> 480,> 480,240-480,> 480,240-480,> 480,> 480,30-60,> 480
109-60-4,1-Acetoxypropane,100.0,L,> 480,20,30-60,< 10,> 480,10-30,10-30,< 10,< 10,< 10
872-50-4,1- METIL-2- PIRROLIDONE,100.0,L,240-480,10-30,> 480,< 10,366,< 2,10-30,< 10,< 10,7
822-06-0,1,6-diisocianatoesano,100.0,L,> 480,30-60,> 480,10-30,> 480,10-30,30-60,< 10,< 10,10-30
123-91-1,1,4-diossacicloesano,100.0,L,> 480,10-30,> 480,< 10,> 480,< 10,10-30,< 10,< 10,10-30
110-85-0,1,4-Diazacyclohexane,100.0,S,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480,> 480
57-55-6,1,2-Propanediol,100.0,L,> 480,> 480,> 480,> 480,> 480,> 480,> 480,240-480,> 480,> 480
107-21-1,1,2-ethanediol,100.0,L,> 480,> 480,> 480,> 480,> 480,> 480,> 480,240-480,> 480,> 480
79-01-6,1,1,2-Trichloroethylene,100.0,L,> 480,10-30,< 10,< 2,> 480,< 10,< 10,< 10,< 10,4
999-97-3,1,1,1,3,3,3,Bis(trimetilsilil)ammina,100.0,L,> 480,> 480,240-480,240-480,120-240,240-480,240-480,10-30,60-120,> 480
7697-37-2,(White) Fuming Nitric Acid,100.0,L,> 480,< 10,30-60,< 10,< 6,< 10,< 10,1,< 10,< 10
624-49-7,(E)-2-Butenedioic acid dimethyl ester,100.0,S,> 480,> 480,> 480,> 480,> 480,> 480,> 480,240-480,240-480,> 480
54-11-5,(-)-Nicotine,100.0,L,240-480,60-120,> 480,30-60,240-480,30-60,60-120,< 10,10-30,30-60
64742-49-0,Hydrocarbons C6 isoalkanes <5% nhexane,100.0,L,>480,>480,<10,>480,>480,>480,>480,10-30,>480,>480
7439-97-6,HYDRARGYRUM,100.0,L,>480,>480,>480,>480,>480,>480,>480,120-240,240-480,>480
64742-48-9,Hydrocarbons C9-C11 n-alkanes isoalkanes cyclics <2% aromatics,100.0,L,>480,>480,10-30,>480,>480,>480,>480,30-60,>480,>480
7664-39-3,HF,40.0,L,>480,120-240,>480,30-60,>480,60,160,240-480,<10,43
7664-39-3,HF,49.0,L,>480,179,>480,10-30,>480,30-60,48,405,<10,30-60
